"","comparison","stem","diversity","emmean","SE","df","lower.CL","upper.CL"
"1","SF_LF","large","TD",1.6321876342059,0.0718881621340816,49.7806591976485,1.48778024613737,1.77659502227442
"2","SF_LF","large","FD",1.56983413692224,0.0718881621340816,49.780659197649,1.42542674885372,1.71424152499077
"3","SF_UF","large","TD",1.55301146100058,0.0718881621340818,49.7806591976485,1.40860407293206,1.69741884906911
"4","SF_UF","large","FD",1.49065796371693,0.0718881621340816,49.780659197649,1.34625057564841,1.63506535178545
"5","SF_LF","large","PD",1.36674527764533,0.0718881621340815,49.7806591976494,1.2223378895768,1.51115266571385
"6","SF_UF","large","PD",1.28756910444001,0.0718881621340815,49.780659197649,1.14316171637149,1.43197649250854
"7","SF_LF","small","TD",1.27024123261463,0.0718881621340814,49.7806591976479,1.1258338445461,1.41464862068315
"8","SF_LF","small","FD",1.20788773533097,0.0718881621340814,49.7806591976488,1.06348034726245,1.35229512339949
"9","SF_LF","small","PD",1.00479887605405,0.0718881621340814,49.7806591976493,0.86039148798553,1.14920626412258
"10","SF_LBF","large","TD",0.999172771656446,0.0718881621340817,49.7806591976485,0.854765383587922,1.14358015972497
"11","SF_LBF","small","TD",0.997510393781602,0.0718881621340815,49.780659197648,0.853103005713079,1.14191778185013
"12","SF_LBF","large","FD",0.936819274372792,0.0718881621340816,49.7806591976493,0.792411886304269,1.08122666244132
"13","SF_LBF","small","FD",0.935156896497948,0.0718881621340815,49.7806591976493,0.790749508429425,1.07956428456647
"14","SF_UF","small","TD",0.92757005941102,0.0718881621340815,49.780659197648,0.783162671342496,1.07197744747954
"15","SF_UF","small","FD",0.865216562127366,0.0718881621340815,49.7806591976488,0.720809174058842,1.00962395019589
"16","LBF_LF","large","TD",0.77442460568101,0.0718881621340817,49.7806591976487,0.630017217612487,0.918831993749534
"17","SF_LBF","large","PD",0.733730415095874,0.0718881621340815,49.7806591976493,0.589323027027351,0.878137803164397
"18","SF_LBF","small","PD",0.73206803722103,0.0718881621340814,49.7806591976493,0.587660649152507,0.876475425289553
"19","LBF_LF","large","FD",0.712071108397356,0.0718881621340815,49.780659197649,0.567663720328833,0.85647849646588
"20","LBF_UF","large","TD",0.671027831391121,0.0718881621340817,49.7806591976487,0.526620443322597,0.815435219459644
"21","SF_UF","small","PD",0.662127702850448,0.0718881621340814,49.7806591976491,0.517720314781925,0.806535090918971
"22","LBF_UF","large","FD",0.608674334107467,0.0718881621340816,49.7806591976488,0.464266946038943,0.75308172217599
"23","LF_UF","small","TD",0.521113131634163,0.0718881621340823,49.7806591976457,0.376705743565638,0.665520519702689
"24","LBF_LF","large","PD",0.508982249120438,0.0718881621340815,49.7806591976491,0.364574861051915,0.653389637188962
"25","LBF_LF","small","TD",0.463312856199295,0.0718881621340814,49.7806591976477,0.318905468130772,0.607720244267819
"26","LF_UF","small","FD",0.458759634350509,0.0718881621340823,49.7806591976488,0.314352246281985,0.603167022419034
"27","LBF_UF","small","TD",0.437414163741905,0.0718881621340815,49.7806591976479,0.293006775673381,0.581821551810428
"28","LBF_UF","large","PD",0.405585474830549,0.0718881621340815,49.780659197649,0.261178086762026,0.549992862899072
"29","LBF_LF","small","FD",0.400959358915641,0.0718881621340815,49.7806591976488,0.256551970847118,0.545366746984165
"30","LBF_UF","small","FD",0.375060666458251,0.0718881621340815,49.7806591976488,0.230653278389727,0.519468054526774
"31","LF_UF","large","TD",0.322404075867781,0.0718881621340827,49.7806591976321,0.177996687799254,0.466811463936308
"32","LF_UF","large","FD",0.260050578584128,0.071888162134083,49.7806591976364,0.1156431905156,0.404457966652655
"33","LF_UF","small","PD",0.255670775073591,0.0718881621340822,49.780659197648,0.111263387005067,0.400078163142116
"34","LBF_LF","small","PD",0.197870499638723,0.0718881621340814,49.780659197649,0.0534631115702002,0.342277887707246
"35","LBF_UF","small","PD",0.171971807181333,0.0718881621340814,49.780659197649,0.0275644191128096,0.316379195249856
"36","LF_UF","large","PD",0.0569617193072094,0.0718881621340827,49.7806591976361,-0.0874456687613172,0.201369107375736
